113.200.114.168:20000,#genre#
CCTV1,http://113.200.114.168:20000/hls/1/index.m3u8
CCTV2,http://113.200.114.168:20000/hls/2/index.m3u8
CCTV3,http://113.200.114.168:20000/hls/3/index.m3u8
CCTV4,http://113.200.114.168:20000/hls/4/index.m3u8
CCTV5,http://113.200.114.168:20000/hls/5/index.m3u8
CCTV6,http://113.200.114.168:20000/hls/6/index.m3u8
CCTV7,http://113.200.114.168:20000/hls/7/index.m3u8
CCTV8,http://113.200.114.168:20000/hls/8/index.m3u8
CCTV9,http://113.200.114.168:20000/hls/9/index.m3u8
CCTV10,http://113.200.114.168:20000/hls/10/index.m3u8
CCTV11,http://113.200.114.168:20000/hls/11/index.m3u8
CCTV12,http://113.200.114.168:20000/hls/12/index.m3u8
CCTV13,http://113.200.114.168:20000/hls/13/index.m3u8
CCTV-少儿,http://113.200.114.168:20000/hls/14/index.m3u8
CCTV15,http://113.200.114.168:20000/hls/15/index.m3u8
CCTV-NEWS,http://113.200.114.168:20000/hls/16/index.m3u8
浙江卫视,http://113.200.114.168:20000/hls/17/index.m3u8
湖南卫视,http://113.200.114.168:20000/hls/18/index.m3u8
江苏卫视,http://113.200.114.168:20000/hls/19/index.m3u8
北京卫视,http://113.200.114.168:20000/hls/20/index.m3u8
广东卫视,http://113.200.114.168:20000/hls/21/index.m3u8
深圳卫视,http://113.200.114.168:20000/hls/22/index.m3u8
湖北卫视,http://113.200.114.168:20000/hls/23/index.m3u8
山东卫视,http://113.200.114.168:20000/hls/24/index.m3u8
四川卫视,http://113.200.114.168:20000/hls/25/index.m3u8
安徽卫视,http://113.200.114.168:20000/hls/26/index.m3u8
重庆卫视,http://113.200.114.168:20000/hls/27/index.m3u8
东方卫视,http://113.200.114.168:20000/hls/28/index.m3u8
河南卫视,http://113.200.114.168:20000/hls/29/index.m3u8
江西卫视,http://113.200.114.168:20000/hls/30/index.m3u8
吉林卫视,http://113.200.114.168:20000/hls/31/index.m3u8
山西卫视,http://113.200.114.168:20000/hls/32/index.m3u8
贵州卫视,http://113.200.114.168:20000/hls/33/index.m3u8
甘肃卫视,http://113.200.114.168:20000/hls/34/index.m3u8
宁夏卫视,http://113.200.114.168:20000/hls/35/index.m3u8
海南卫视,http://113.200.114.168:20000/hls/36/index.m3u8
广西卫视,http://113.200.114.168:20000/hls/37/index.m3u8
辽宁卫视,http://113.200.114.168:20000/hls/38/index.m3u8
青海卫视,http://113.200.114.168:20000/hls/39/index.m3u8
西藏卫视,http://113.200.114.168:20000/hls/40/index.m3u8
内蒙古卫视,http://113.200.114.168:20000/hls/41/index.m3u8
新疆卫视,http://113.200.114.168:20000/hls/42/index.m3u8
河北卫视,http://113.200.114.168:20000/hls/43/index.m3u8
云南卫视,http://113.200.114.168:20000/hls/44/index.m3u8
陕西卫视,http://113.200.114.168:20000/hls/45/index.m3u8
IPTV小品,http://113.200.114.168:20000/hls/46/index.m3u8
三沙兵团,http://113.200.114.168:20000/hls/47/index.m3u8
西安一套,http://113.200.114.168:20000/hls/48/index.m3u8
西安二套,http://113.200.114.168:20000/hls/49/index.m3u8
CCTV-1 综合,http://113.200.114.168:20000/hls/1/index.m3u8
CCTV-2 财经,http://113.200.114.168:20000/hls/2/index.m3u8
CCTV-3 综艺,http://113.200.114.168:20000/hls/3/index.m3u8
CCTV-4 中文国际,http://113.200.114.168:20000/hls/4/index.m3u8
CCTV-5 体育,http://113.200.114.168:20000/hls/5/index.m3u8
