===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-07-05 03:56:34
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
---------------------------------------------------------------------------
113.200.114.168:20000     | CCTV3综艺         |    4.8 Mbps |  67%
113.200.114.168:20000     | CCTVNEWS        |    5.6 Mbps |  78%
60.187.247.181:9901       | CCTV4           |   1.13 Mbps | 100%
60.187.247.181:9901       | CCTV8           |   6.36 Mbps |  21%
122.114.131.154:4000      | CCTV12          |   2.62 Mbps | 100%
ah2.sohu.blog:8000        | 天津卫视            |   0.53 Mbps | 100%
ah2.sohu.blog:8000        | 河南卫视            |   0.26 Mbps | 100%
220.187.223.171:9901      | 重庆卫视            |   7.55 Mbps |  79%
220.187.223.171:9901      | 辽宁卫视            |   2.38 Mbps |  16%
101.66.198.167:9901       | 江西卫视            |   9.43 Mbps |  97%
101.66.198.167:9901       | CCTV15          |   4.65 Mbps |  58%
182.150.31.44:808         | CCTV5体育         |   3.73 Mbps | 100%
219.139.124.61:8089       | 广东卫视            |   8.73 Mbps |   0%
219.139.124.61:8089       | 黑龙江卫视           |   8.83 Mbps |   0%
120.198.84.146:9901       | CCTV14          |   7.04 Mbps |  43%
120.198.84.146:9901       | CHC动作电影         |   4.51 Mbps |  17%
122.114.131.154:4007      | CCTV12          |   1.61 Mbps | 100%
122.114.131.154:4007      | CCTV5           |   1.22 Mbps | 100%
122.114.131.154:4001      | CCTV12          |   0.36 Mbps | 100%
122.114.131.154:4001      | CCTV5+体育赛事      |   0.27 Mbps | 100%
106.44.226.206:88         | CCTV3           |   8.97 Mbps |   0%
106.44.226.206:88         | CCTV2           |   5.71 Mbps | 100%
183.237.71.182:40000      | 河北卫视            |   2.75 Mbps | 100%
183.237.71.182:40000      | 东方卫视            |   1.57 Mbps | 100%
139.214.182.186:9901      | 女性时尚            |   0.17 Mbps | 100%
106.115.26.84:9901        | 海南卫视            |   1.44 Mbps | 100%
106.115.26.84:9901        | 湖南卫视            |   0.53 Mbps | 100%
60.187.244.93:9901        | 安徽卫视            |   7.09 Mbps |   0%
60.187.244.93:9901        | CCTV6           |    5.2 Mbps |  18%
221.232.196.188:7777      | CCTV15          |   3.58 Mbps | 100%
221.232.196.188:7777      | 重庆卫视            |   4.24 Mbps |   0%
139.214.176.44:9901       | 风云足球            |   0.17 Mbps | 100%
101.66.198.252:9901       | 辽宁卫视            |   5.03 Mbps |   0%
101.66.198.252:9901       | CCTV13          |   3.57 Mbps | 100%
101.66.194.151:9901       | CCTV7           |   5.45 Mbps |   0%
101.66.194.151:9901       | 江西卫视            |   3.46 Mbps | 100%
221.232.197.109:7777      | 东南卫视            |   4.11 Mbps | 100%
221.232.197.109:7777      | 浙江卫视            |   7.25 Mbps |  46%
60.174.86.121:5080        | Q亳州农村           |   5.46 Mbps |   0%
60.174.86.121:5080        | Q亳州新闻           |   4.89 Mbps |  14%
101.95.21.250:10081       | 重庆卫视            |   0.31 Mbps | 100%
101.95.21.250:10081       | CCTV5           |   0.46 Mbps | 100%
hmfs.f3322.net:3388       | 广东珠江            |   3.17 Mbps | 100%
hmfs.f3322.net:3388       | CCTV15音乐        |   2.14 Mbps | 100%
116.228.170.214:888       | CCTV7           |   0.66 Mbps | 100%
116.228.170.214:888       | CCTV15音乐        |   0.06 Mbps | 100%
59.45.161.118:8877        | 青海卫视            |   3.63 Mbps |   0%
59.45.161.118:8877        | 湖南卫视            |   6.85 Mbps |   0%
1.192.152.63:9901         | 四川卫视            |   2.34 Mbps | 100%
1.192.152.63:9901         | 安徽卫视            |   1.96 Mbps | 100%
112.27.5.218:9901         | 时尚购物            |   0.32 Mbps |  73%
112.27.5.218:9901         | 广东卫视            |   6.41 Mbps |   0%
123.149.41.216:9901       | 山东卫视            |   4.31 Mbps |  26%
123.149.41.216:9901       | CCTV4           |   2.44 Mbps | 100%
221.14.142.118:9003       | CCTV15音乐        |   9.53 Mbps |   0%
221.14.142.118:9003       | CCTV6           |   9.24 Mbps |   0%
221.232.197.144:7777      | CCTV3           |   5.82 Mbps |  73%
221.232.197.144:7777      | 河南卫视            |   3.65 Mbps |   0%
60.187.244.206:9901       | 东南卫视            |   6.84 Mbps |   0%
60.187.244.206:9901       | 北京卫视            |   6.84 Mbps |  41%
39.164.138.145:9003       | 浙江卫视            |   0.24 Mbps | 100%
39.164.138.145:9003       | CCTV12社会与法      |   0.39 Mbps | 100%
120.224.84.170:8085       | 优漫卡通            |   5.16 Mbps |   0%
120.224.84.170:8085       | 浙江卫视            |   9.33 Mbps |  82%
139.214.176.39:9901       | 电视指南            |   0.07 Mbps | 100%
139.214.176.39:9901       | CCTV16          |   0.08 Mbps | 100%
221.232.199.103:7777      | CCTV17          |   4.33 Mbps |  19%
